case	family	hex	mark	strokes	admissible	components	enum	groupEnum	groupFill	groupBox%	heightCV	pop%
placebo.jpg	family-6836	#9d8060	0.003	24	42	2155	0.011	0.571	0.2553	77.74	1.572	2.1531
placebo.jpg	family-5954	#84694e	0.006	24	36	1861	0.013	0.667	0.3309	45.02	1.609	1.4818
placebo.jpg	family-3307	#3b291f	0.008	22	29	1206	0.018	0.759	0.1072	67.68	1.186	0.7111
placebo.jpg	family-5072	#6e523a	0.005	24	44	1333	0.018	0.545	0.2129	71.86	1.122	1.5936
placebo.jpg	family-9923	#ecd9bb	0.001	9	13	656	0.014	0.692	0.0353	45.82	1.474	1.0177
placebo.jpg	family-10783	#fbfdf8	0.780	18	18	23	0.783	1.000	0.7428	1.78	0.309	0.7324
placebo.jpg	family-6039	#cc150f	0.998	7	7	7	1.000	1.000	0.8338	0.60	0.095	0.2395
placebo.jpg	family-5576	#a93331	0.011	6	7	142	0.042	0.857	0.3596	0.58	0.768	0.0811
skap.jpg	family-11245	#ffffff	0.000	24	142	936	0.026	0.169	0.5318	100.00	1.356	21.7537
skap.jpg	family-639	#000103	0.001	24	229	3375	0.007	0.105	0.2766	94.23	1.183	9.8040
skap.jpg	family-10341	#deecf7	0.001	24	75	6602	0.004	0.320	0.1020	98.99	1.262	5.1841
skap.jpg	family-5912	#5d763c	0.010	20	21	1704	0.012	0.952	0.1070	80.15	1.134	3.2591
skap.jpg	family-9481	#e2ccc1	0.001	24	289	7887	0.003	0.083	0.2165	98.89	1.328	7.2710
skap.jpg	family-6414	#8f6d7e	0.002	23	52	3597	0.006	0.442	0.1042	76.65	1.032	3.6875
skap.jpg	family-7717	#b09894	0.000	24	183	11883	0.002	0.131	0.1530	98.14	1.091	7.0620
skap.jpg	family-8599	#c4b5b0	0.001	24	157	10753	0.002	0.153	0.0606	89.05	0.997	4.0671
skap.jpg	family-6017	#b63b34	0.160	24	27	132	0.182	0.889	0.1899	57.75	1.013	3.7994
skap.jpg	family-1543	#0f0704	0.000	16	33	13441	0.001	0.485	0.0076	60.92	0.805	3.2100
skap.jpg	family-7299	#c27d44	0.008	24	46	2253	0.011	0.522	0.0790	63.42	1.178	2.3471
skap.jpg	family-6835	#94817d	0.000	24	67	13988	0.002	0.358	0.0308	73.17	1.024	3.2503
skap.jpg	family-5512	#705f58	0.000	24	54	16076	0.001	0.444	0.0314	76.15	0.884	3.5983
skap.jpg	family-3307	#392a25	0.000	18	22	15246	0.001	0.818	0.0149	47.83	1.616	2.9023
skap.jpg	family-4630	#584944	0.000	14	17	13456	0.001	0.824	0.0081	42.83	1.098	2.2489
skap.jpg	family-2425	#251714	0.000	19	31	11350	0.002	0.613	0.0131	51.87	0.720	2.2547
skap.jpg	family-8622	#e9a06b	0.023	24	36	796	0.030	0.667	0.0592	47.17	0.966	1.1723
skap.jpg	family-9001	#bacd36	0.020	13	13	474	0.027	1.000	0.0235	81.66	1.135	1.0286
skap.jpg	family-7719	#c19856	0.004	23	91	2870	0.008	0.253	0.0597	91.55	1.161	1.9630
skap.jpg	family-3790	#630b1b	0.000	4	6	868	0.005	0.667	0.1539	20.87	1.222	1.1996
skap.jpg	family-5972	#845a8c	0.021	21	22	250	0.084	0.955	0.0583	63.93	1.870	0.7636
skap.jpg	family-220	#000000	0.000	8	8	993	0.008	1.000	0.0010	42.97	0.651	0.2676
skap.jpg	family-8602	#ddb651	0.009	12	12	766	0.016	1.000	0.0398	20.50	1.117	0.5403
skap.jpg	family-6500	#d91a3b	0.035	24	66	334	0.072	0.364	0.0348	39.38	0.563	0.5120
skap.jpg	family-5954	#856846	0.000	7	8	3038	0.002	0.875	0.0167	12.65	0.357	0.5348
skap.jpg	family-5030	#495f31	0.001	6	6	2544	0.002	1.000	0.0268	37.93	1.119	0.6282
skap.jpg	family-9458	#b0d8f2	0.083	11	11	97	0.113	1.000	0.0261	30.71	1.084	0.3987
skap.jpg	family-9884	#f1e419	0.013	9	10	133	0.068	0.900	0.0129	25.68	0.883	0.2437
skap.jpg	family-6772	#259d81	0.628	8	8	11	0.727	1.000	0.0679	9.43	0.962	0.2775
skap.jpg	family-6795	#789042	0.002	13	14	1370	0.009	0.929	0.0315	30.93	0.907	0.3686
skap.jpg	family-5135	#9a262f	0.001	6	7	974	0.006	0.857	0.0398	11.33	0.499	0.2710
skap.jpg	family-8140	#baad3a	0.000	6	6	1146	0.005	1.000	0.0010	48.92	0.285	0.2489
skap.jpg	family-10343	#f9e9b5	0.024	11	11	228	0.048	1.000	0.0242	16.60	0.513	0.2578
skap.jpg	family-2888	#3f1604	0.000	5	5	1302	0.004	1.000	0.0262	2.66	0.417	0.2827
skap.jpg	family-6877	#b6727f	0.030	9	9	181	0.050	1.000	0.0046	31.10	0.587	0.0966
skap.jpg	family-5093	#7d4a2d	0.000	3	3	738	0.004	1.000	0.0149	0.82	0.154	0.1205
skap.jpg	family-9463	#e2d24b	0.023	19	20	388	0.049	0.950	0.0107	25.08	0.453	0.2264
skap.jpg	family-8555	#7dc4e2	0.015	5	5	120	0.042	1.000	0.0037	35.30	0.626	0.0782
skap.jpg	family-8178	#ba9dbc	0.054	8	8	83	0.096	1.000	0.0077	18.84	0.976	0.0784
slim.jpg	family-1080	#01040b	0.000	24	178	6403	0.004	0.135	1.0000	100.00	2.993	43.4695
slim.jpg	family-220	#000000	0.004	24	72	1660	0.014	0.333	0.1562	100.00	2.037	5.6672
slim.jpg	family-1983	#140e18	0.000	24	393	15672	0.002	0.061	0.7716	100.00	1.602	16.9484
slim.jpg	family-2402	#031b35	0.000	24	160	7121	0.003	0.150	0.2038	100.00	1.542	6.3825
slim.jpg	family-2446	#320814	0.000	22	60	2290	0.010	0.367	0.2710	85.77	1.725	8.2395
slim.jpg	family-4608	#454f51	0.006	16	30	2324	0.007	0.533	0.1893	53.47	1.442	4.7038
slim.jpg	family-3284	#0b304d	0.006	24	84	2414	0.010	0.286	0.0553	100.00	1.184	1.9479
slim.jpg	family-3747	#3d363d	0.000	20	47	3891	0.005	0.426	0.6096	38.24	2.461	4.5719
slim.jpg	family-2865	#27212b	0.001	24	104	6097	0.004	0.231	0.1055	72.89	1.097	2.7521
slim.jpg	family-3349	#511223	0.004	24	59	2486	0.010	0.407	0.0947	35.50	1.067	1.3356
slim.jpg	family-4166	#184566	0.010	24	42	1352	0.018	0.571	0.0149	99.42	0.574	0.7021
slim.jpg	family-5490	#53666c	0.006	12	14	1285	0.009	0.857	0.0222	53.23	0.742	0.6547
slim.jpg	family-6480	#dc2b31	0.993	12	12	12	1.000	1.000	0.6104	3.16	0.443	0.4335
slim.jpg	family-4651	#664149	0.014	14	15	329	0.043	0.933	0.1346	14.09	0.923	0.5658
slim.jpg	family-5026	#0c5d8c	0.019	21	25	726	0.029	0.840	0.0143	87.00	0.900	0.5281
slim.jpg	family-5908	#2876a4	0.030	22	22	446	0.049	1.000	0.0054	84.95	0.720	0.2037
slim.jpg	family-6372	#677e86	0.001	4	7	277	0.014	0.571	0.0109	16.38	0.725	0.1241
slim.jpg	family-6790	#348fbe	0.009	8	8	229	0.035	1.000	0.0030	27.96	0.466	0.0851
slim.jpg	family-8092	#20beee	0.023	3	3	28	0.107	1.000	0.2934	0.48	0.021	0.0656
slipknot.jpg	family-220	#000000	0.000	18	19	704	0.026	0.947	1.0000	100.00	3.205	92.4136
slipknot.jpg	family-10803	#fbfbfd	0.000	5	6	14	0.357	0.833	0.8507	10.88	0.403	3.7352
slipknot.jpg	family-661	#010101	0.011	24	38	817	0.029	0.632	0.2654	12.10	0.714	2.1032
snarky.jpg	family-8560	#c7bf36	0.000	12	13	157	0.076	0.923	1.0000	100.00	2.548	96.8005
snarky.jpg	family-10783	#fcfdf5	0.381	24	27	61	0.393	0.889	0.6226	4.09	0.528	1.5347
snarky.jpg	family-1522	#040c01	0.051	24	30	262	0.092	0.800	0.0263	32.49	0.413	0.3831
